ID,Task Name,Bucket Name,Phase,Progress,Priority,Notes
ST-001,ST-001 Research the modern definition of a star.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-002,ST-002 Document how stars form from molecular clouds.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-003,ST-003 Research interstellar gas composition.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-004,ST-004 Research interstellar dust composition.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-005,ST-005 Document giant molecular clouds.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-006,ST-006 Research gravitational collapse mechanisms.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-007,ST-007 Research protostar formation stages.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-008,ST-008 Document accretion disks around protostars.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-009,ST-009 Research stellar ignition thresholds.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-010,ST-010 Document hydrogen fusion fundamentals.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-011,ST-011 Research hydrostatic equilibrium.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-012,ST-012 Document stellar energy transport mechanisms.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-013,ST-013 Research radiation zones.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-014,ST-014 Research convection zones.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-015,ST-015 Document stellar atmospheres.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-016,ST-016 Research photospheres.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-017,ST-017 Research chromospheres.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-018,ST-018 Research stellar coronae.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-019,ST-019 Document stellar magnetic fields.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-020,ST-020 Produce Stellar Foundations Summary v1.,STA · A — Astronomy fundamentals,STA — Stellar Foundations,Not started,Medium,
ST-021,ST-021 Research stellar mass measurements.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-022,ST-022 Document solar mass standards.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-023,ST-023 Research stellar radius measurements.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-024,ST-024 Document solar radius standards.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-025,ST-025 Research luminosity calculations.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-026,ST-026 Document absolute magnitude.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-027,ST-027 Document apparent magnitude.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-028,ST-028 Research bolometric magnitude.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-029,ST-029 Document stellar brightness scales.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-030,ST-030 Research distance measurement techniques.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-031,ST-031 Document parallax methods.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-032,ST-032 Research spectroscopic parallax.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-033,ST-033 Document standard candles.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-034,ST-034 Research Cepheid distance relationships.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-035,ST-035 Document temperature measurements.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-036,ST-036 Research blackbody radiation.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-037,ST-037 Document color-temperature relationships.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-038,ST-038 Research stellar metallicity measurements.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-039,ST-039 Document stellar age estimation methods.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-040,ST-040 Produce Stellar Measurements Dataset v1.,STA · B — Stellar measurements,STA — Stellar Foundations,Not started,Medium,
ST-041,ST-041 Research the Morgan-Keenan classification system.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-042,ST-042 Document spectral class O.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-043,ST-043 Document spectral class B.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-044,ST-044 Document spectral class A.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-045,ST-045 Document spectral class F.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-046,ST-046 Document spectral class G.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-047,ST-047 Document spectral class K.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-048,ST-048 Document spectral class M.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-049,ST-049 Research spectral subclasses.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-050,ST-050 Research luminosity classes.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-051,ST-051 Document hypergiants.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-052,ST-052 Document supergiants.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-053,ST-053 Document giants.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-054,ST-054 Document subgiants.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-055,ST-055 Document main-sequence stars.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-056,ST-056 Document subdwarfs.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-057,ST-057 Document white dwarfs.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-058,ST-058 Create stellar classification comparison matrix.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-059,ST-059 Build classification knowledge graph relationships.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-060,ST-060 Produce Spectral Classification Reference v1.,STA · C — Stellar classification,STA — Stellar Foundations,Not started,Medium,
ST-061,ST-061 Research the history of the Hertzsprung-Russell Diagram.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
